epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,2660.23,1.16424,1.05857,1.31128,0.82606,0.67917,0.75711,0.47597,1.19064,0.8093,1.22859,0.000465005,0.000465005,0.000465005
109,2684.09,1.15732,1.05141,1.31088,0.83964,0.69115,0.76677,0.48519,1.19543,0.78876,1.22254,0.000460005,0.000460005,0.000460005
110,2708.01,1.15584,1.0459,1.30022,0.83569,0.69217,0.77305,0.49039,1.18362,0.77587,1.21786,0.000455005,0.000455005,0.000455005
111,2731.81,1.13652,1.04494,1.30751,0.8427,0.67844,0.76262,0.48039,1.19371,0.80086,1.22876,0.000450006,0.000450006,0.000450006
112,2755.93,1.14453,1.0251,1.29506,0.85822,0.68256,0.76629,0.48364,1.20182,0.79057,1.23117,0.000445006,0.000445006,0.000445006
113,2780,1.14722,1.03219,1.30708,0.85745,0.67431,0.76147,0.47983,1.19432,0.79066,1.22333,0.000440006,0.000440006,0.000440006
114,2803.82,1.127,1.01312,1.29349,0.84408,0.68905,0.7701,0.49135,1.1725,0.77668,1.21414,0.000435006,0.000435006,0.000435006
115,2827.9,1.13804,1.03495,1.29996,0.84693,0.68046,0.76569,0.48906,1.17202,0.78065,1.21258,0.000430006,0.000430006,0.000430006
116,2851.6,1.13248,1.03677,1.29811,0.84425,0.6819,0.76616,0.47921,1.20248,0.79082,1.22758,0.000425006,0.000425006,0.000425006
117,2875.47,1.12664,1.01264,1.2881,0.84021,0.68231,0.76564,0.48246,1.19439,0.78634,1.22183,0.000420006,0.000420006,0.000420006
118,2899.34,1.12888,1.02379,1.29618,0.8406,0.6945,0.7698,0.49042,1.17951,0.76133,1.21823,0.000415006,0.000415006,0.000415006
119,2923.06,1.10972,1.0108,1.28803,0.85205,0.68645,0.77479,0.49067,1.17773,0.76391,1.21863,0.000410006,0.000410006,0.000410006
120,2946.88,1.12198,1.0044,1.28347,0.85131,0.69711,0.77501,0.4945,1.17314,0.75984,1.19933,0.000405006,0.000405006,0.000405006
121,2970.9,1.10045,0.9855,1.2784,0.85715,0.69617,0.77989,0.49842,1.16821,0.74972,1.19909,0.000400006,0.000400006,0.000400006
122,2995.04,1.13064,1.01653,1.30145,0.87677,0.68601,0.7769,0.49905,1.16082,0.75366,1.20366,0.000395006,0.000395006,0.000395006
123,3019.04,1.11842,1.00633,1.28971,0.85535,0.69138,0.77774,0.49507,1.1712,0.75097,1.21176,0.000390006,0.000390006,0.000390006
124,3042.88,1.10936,0.98394,1.27209,0.8525,0.69831,0.77601,0.49499,1.16452,0.75295,1.20638,0.000385006,0.000385006,0.000385006
125,3066.65,1.12006,0.99081,1.27832,0.85821,0.69788,0.7825,0.50242,1.15736,0.74541,1.20234,0.000380006,0.000380006,0.000380006
126,3090.47,1.09082,0.96823,1.26768,0.85935,0.69006,0.7813,0.49578,1.17683,0.75783,1.21884,0.000375006,0.000375006,0.000375006
127,3114.29,1.11077,0.99492,1.28772,0.86515,0.69073,0.7818,0.49873,1.16698,0.74727,1.20123,0.000370006,0.000370006,0.000370006
128,3138.14,1.10838,0.98416,1.276,0.85782,0.68959,0.77711,0.49231,1.18283,0.75998,1.21644,0.000365006,0.000365006,0.000365006
129,3161.93,1.11336,0.9838,1.27947,0.85974,0.70083,0.78442,0.50221,1.16144,0.73849,1.19921,0.000360006,0.000360006,0.000360006
130,3185.86,1.09891,0.97191,1.26925,0.86251,0.69303,0.77892,0.49801,1.17345,0.738,1.20881,0.000355006,0.000355006,0.000355006
131,3209.67,1.09339,0.96539,1.26499,0.86282,0.69438,0.78318,0.49774,1.16394,0.73269,1.20244,0.000350006,0.000350006,0.000350006
132,3233.67,1.1001,0.97198,1.27342,0.85361,0.70484,0.78619,0.49998,1.15977,0.73052,1.19934,0.000345007,0.000345007,0.000345007
